"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2019","Age","13-15 Years","42.6","30.5 to 55.6","86"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2019","Age","13-17 Years","53.4","43.2 to 63.4","143"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2017","Age","13-17 Years","50.0","40.2 to 59.7","151"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2018","Age","13-17 Years","53.7","44.2 to 62.9","161"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2018","Age","13-15 Years","47.0","35.2 to 59.2","110"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2020","Age","13-17 Years","65.8","55.3 to 74.9","158"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2021","Age","13-17 Years","72.8","60.0 to 82.7","122"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2016","Age","13-17 Years","46.9","38.1 to 56.0","192"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2022","Age","13-15 Years","54.5","42.1 to 66.4","111"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2020","Age","13-15 Years","68.3","55.5 to 78.8","107"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2021","Age","13-15 Years","72.3","54.3 to 85.2","68"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2022","Age","13-17 Years","53.5","43.6 to 63.2","175"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2016","Age","13-17 Years","35.7","27.3 to 45.1","174"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2022","Age","13-15 Years","50.2","38.4 to 61.9","118"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2020","Age","13-15 Years","52.2","39.2 to 64.9","99"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2021","Age","13-15 Years","60.4","47.5 to 72.0","99"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2019","Age","13-15 Years","43.4","31.8 to 55.7","99"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2019","Age","13-15 Years","43.0","34.4 to 52.0","185"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2020","Age","13-15 Years","60.2","51.0 to 68.8","206"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2021","Age","13-17 Years","62.9","52.2 to 72.5","144"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2022","Age","13-17 Years","56.0","46.4 to 65.2","186"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2021","Age","13-15 Years","65.6","55.2 to 74.7","167"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2019","Age","13-17 Years","45.8","36.5 to 55.3","162"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2018","Age","13-17 Years","50.5","41.1 to 59.9","180"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2020","Age","13-17 Years","55.8","45.7 to 65.4","169"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2017","Age","13-17 Years","53.7","44.9 to 62.3","185"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2022","Age","13-15 Years","52.3","43.7 to 60.8","229"
"Varicella","History of disease","States/Local Areas","North Carolina","2012","Age","13-17 Years","37.1","30.8 to 43.8","347"
"Varicella","History of disease","States/Local Areas","North Carolina","2011","Age","13-17 Years","37.5","31.2 to 44.3","347"
"Varicella","History of disease","States/Local Areas","North Carolina","2010","Age","13-17 Years","49.2","43.2 to 55.2","366"
"Varicella","History of disease","States/Local Areas","North Carolina","2014","Age","13-17 Years","19.7","14.9 to 25.6","372"
"Varicella","History of disease","States/Local Areas","North Carolina","2013","Age","13-17 Years","20.5","15.7 to 26.3","306"
"Varicella","History of disease","States/Local Areas","North Carolina","2009","Age","13-17 Years","62.7","56.3 to 68.7","323"
"Varicella","History of disease","States/Local Areas","North Carolina","2017","Age","13-17 Years","8.7","5.7 to 13.0","336"
"Varicella","History of disease","States/Local Areas","North Carolina","2016","Age","13-17 Years","17.4","12.9 to 22.9","366"
"Varicella","History of disease","States/Local Areas","North Carolina","2015","Age","13-17 Years","16.7","12.8 to 21.7","358"
"Varicella","History of disease","States/Local Areas","North Carolina","2008","Age","13-17 Years","57.9","51.3 to 64.2","326"
"Varicella","History of disease","States/Local Areas","North Carolina","2019","Age","13-17 Years","9.0","5.3 to 14.8","305"
"Varicella","History of disease","States/Local Areas","North Carolina","2021","Age","13-17 Years","10.2","5.8 to 17.2","266"
"Varicella","History of disease","States/Local Areas","North Carolina","2020","Age","13-17 Years","5.7","3.3 to 9.8","327"
"Varicella","History of disease","States/Local Areas","North Carolina","2018","Age","13-17 Years","14.7","10.5 to 20.1","341"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2018","Age","13-15 Years","45.9","35.0 to 57.3","114"
"Varicella","History of disease","States/Local Areas","North Carolina","2022","Age","13-17 Years","7.7","4.6 to 12.7","361"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2010","Age","13-17 Years","89.2","85.1 to 92.3","366"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2014","Age","13-15 Years","73.6","65.4 to 80.4","205"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2022","Age","13-17 Years","95.7","92.0 to 97.8","361"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2016","Age","13-15 Years","78.5","69.7 to 85.2","191"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2015","Age","13-15 Years","84.2","77.0 to 89.4","202"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2018","Age","13-15 Years","89.3","81.7 to 94.0","195"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2012","Age","13-15 Years","72.9","62.9 to 81.0","157"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2011","Age","13-15 Years","66.1","55.2 to 75.5","149"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2013","Age","13-15 Years","78.5","70.1 to 85.0","166"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2008","Age","13-15 Years","25.3","17.2 to 35.6","95"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2017","Age","13-15 Years","94.0","89.6 to 96.7","204"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2020","Age","13-17 Years","96.6","92.4 to 98.5","327"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2021","Age","13-17 Years","93.3","86.9 to 96.7","266"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2019","Age","13-17 Years","92.1","87.5 to 95.1","305"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2009","Age","13-17 Years","82.8","77.9 to 86.9","323"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2010","Age","13-17 Years","75.6","70.3 to 80.3","366"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2012","Age","13-17 Years","79.1","73.1 to 84.0","347"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2011","Age","13-17 Years","76.7","70.4 to 82.0","347"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2014","Age","13-17 Years","77.8","72.3 to 82.5","372"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2013","Age","13-17 Years","79.4","73.4 to 84.2","306"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2017","Age","13-17 Years","92.0","88.1 to 94.7","336"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2016","Age","13-17 Years","81.4","75.5 to 86.1","366"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2015","Age","13-17 Years","85.9","81.1 to 89.6","358"
"HPV","≥3 Doses, Males","States/Local Areas","North Carolina","2012","Age","13-17 Years","8.6","4.7 to 15.1","184"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2008","Age","13-17 Years","66.7","60.0 to 72.7","326"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2018","Age","13-17 Years","91.2","86.8 to 94.3","341"
"≥2 Doses Hep A","","States/Local Areas","North Carolina","2022","Age","13-17 Years","89.2","83.8 to 92.9","361"
"HPV","≥3 Doses, Males","States/Local Areas","North Carolina","2013","Age","13-17 Years","12.4","7.4 to 20.2","157"
"HPV","≥3 Doses, Males","States/Local Areas","North Carolina","2015","Age","13-17 Years","29.8","22.5 to 38.3","186"
"HPV","≥3 Doses, Males","States/Local Areas","North Carolina","2014","Age","13-17 Years","20.9","14.5 to 29.1","199"
"HPV","≥3 Doses, Males","States/Local Areas","North Carolina","2013","Age","13-15 Years","15.0","8.2 to 25.7","105"
"≥2 Doses Hep A","","States/Local Areas","North Carolina","2021","Age","13-17 Years","90.8","83.6 to 95.0","266"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2013","Age","13-15 Years","31.9","22.0 to 43.8","97"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2012","Age","13-15 Years","25.1","16.2 to 36.8","102"
"HPV","≥3 Doses, Males","States/Local Areas","North Carolina","2015","Age","13-15 Years","29.8","20.8 to 40.6","124"
"HPV","≥3 Doses, Males","States/Local Areas","North Carolina","2014","Age","13-15 Years","20.0","12.2 to 30.9","131"
"≥2 Doses Hep A","","States/Local Areas","North Carolina","2020","Age","13-17 Years","88.1","82.3 to 92.1","327"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2019","Age","13-17 Years","96.0","91.7 to 98.1","282"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2018","Age","13-17 Years","93.6","88.7 to 96.4","291"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2020","Age","13-17 Years","98.2","93.5 to 99.5","303"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2019","Age","13-17 Years","94.1","89.6 to 96.8","305"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2017","Age","13-17 Years","95.3","91.7 to 97.4","303"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2021","Age","13-17 Years","97.3","90.9 to 99.2","247"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2012","Age","13-17 Years","18.8","12.7 to 26.8","184"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2021","Age","13-17 Years","87.5","76.4 to 93.8","122"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2022","Age","13-17 Years","70.9","60.9 to 79.3","175"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2020","Age","13-17 Years","97.7","93.7 to 99.2","327"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2021","Age","13-17 Years","95.5","88.9 to 98.2","266"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2022","Age","13-17 Years","95.9","93.2 to 97.6","361"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2018","Age","13-17 Years","72.2","63.2 to 79.7","161"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2017","Age","13-17 Years","66.8","57.1 to 75.3","151"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2016","Age","13-17 Years","57.9","48.8 to 66.5","192"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2021","Age","13-17 Years","92.5","85.5 to 96.3","247"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2018","Age","13-17 Years","89.7","84.6 to 93.3","291"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2019","Age","13-17 Years","91.3","86.3 to 94.6","282"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2020","Age","13-17 Years","96.4","91.9 to 98.4","303"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2022","Age","13-17 Years","97.1","94.0 to 98.7","335"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2019","Age","13-17 Years","73.7","63.8 to 81.7","143"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2020","Age","13-17 Years","82.3","74.3 to 88.2","158"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2022","Age","13-17 Years","95.4","91.3 to 97.6","335"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2013","Age","13-17 Years","33.2","25.1 to 42.5","157"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2017","Age","13-17 Years","66.8","58.2 to 74.4","185"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2016","Age","13-17 Years","57.1","47.8 to 66.0","174"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2014","Age","13-17 Years","45.2","36.6 to 54.1","199"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2015","Age","13-17 Years","48.0","39.5 to 56.7","186"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2013","Age","13-17 Years","74.0","66.9 to 80.1","241"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2008","Age","13-17 Years","20.8","14.6 to 28.7","135"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2009","Age","13-17 Years","54.0","43.7 to 64.0","128"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2010","Age","13-17 Years","52.1","44.1 to 59.9","201"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2009","Age","13-17 Years","81.3","72.6 to 87.8","128"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2008","Age","13-17 Years","57.7","47.1 to 67.7","135"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2011","Age","13-17 Years","86.5","79.4 to 91.5","212"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2010","Age","13-17 Years","80.0","73.2 to 85.5","201"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2009","Age","13-17 Years","50.3","40.9 to 59.6","157"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2008","Age","13-17 Years","34.4","26.3 to 43.6","157"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2011","Age","13-17 Years","89.3","84.5 to 92.8","347"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2012","Age","13-17 Years","66.7","58.4 to 74.1","229"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2011","Age","13-17 Years","62.7","53.7 to 70.8","212"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2016","Age","13-17 Years","92.5","88.2 to 95.3","366"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2013","Age","13-17 Years","93.0","87.8 to 96.1","241"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2012","Age","13-17 Years","95.6","92.0 to 97.6","347"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2013","Age","13-17 Years","93.6","89.3 to 96.2","306"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2014","Age","13-17 Years","93.3","89.2 to 95.9","372"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2015","Age","13-17 Years","93.3","88.9 to 96.0","358"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2009","Age","13-17 Years","86.9","81.7 to 90.8","323"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2008","Age","13-17 Years","81.4","75.2 to 86.4","326"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2021","Age","13-15 Years","93.5","84.8 to 97.4","158"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2022","Age","13-15 Years","94.4","88.3 to 97.4","215"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2019","Age","13-15 Years","91.5","84.0 to 95.7","171"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2020","Age","13-15 Years","97.5","93.5 to 99.0","194"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2010","Age","13-15 Years","55.5","46.2 to 64.3","151"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2009","Age","13-15 Years","57.6","45.2 to 69.1","92"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2017","Age","13-17 Years","91.3","87.0 to 94.2","303"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2016","Age","13-17 Years","77.4","70.6 to 83.0","305"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2014","Age","13-17 Years","72.4","65.9 to 78.1","306"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2015","Age","13-17 Years","83.0","77.4 to 87.5","297"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2012","Age","13-17 Years","53.3","43.6 to 62.8","163"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2013","Age","13-17 Years","59.3","49.6 to 68.3","149"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2010","Age","13-17 Years","51.9","42.8 to 60.9","156"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2011","Age","13-17 Years","54.4","44.6 to 63.9","161"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2016","Age","13-17 Years","93.1","87.8 to 96.2","305"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2014","Age","13-17 Years","94.7","90.6 to 97.1","306"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2015","Age","13-17 Years","95.4","91.4 to 97.6","297"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2012","Age","13-17 Years","92.7","86.1 to 96.3","229"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2014","Age","13-17 Years","92.6","87.9 to 95.5","372"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2015","Age","13-17 Years","94.3","90.9 to 96.5","358"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2012","Age","13-17 Years","91.4","86.4 to 94.7","347"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2011","Age","13-17 Years","83.6","77.9 to 88.0","347"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2012","Age","13-15 Years","62.9","54.2 to 70.9","226"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2013","Age","13-15 Years","73.8","66.4 to 80.1","202"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2015","Age","13-15 Years","76.8","69.5 to 82.9","231"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2014","Age","13-15 Years","74.3","66.6 to 80.8","241"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2018","Age","13-17 Years","93.2","88.7 to 96.0","341"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2017","Age","13-17 Years","90.8","86.3 to 93.9","336"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2014","Age","13-17 Years","71.1","62.4 to 78.4","173"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2015","Age","13-17 Years","65.7","56.8 to 73.6","172"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2019","Age","13-17 Years","68.9","59.0 to 77.4","162"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2018","Age","13-17 Years","65.2","55.7 to 73.7","180"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2016","Age","13-15 Years","74.2","66.3 to 80.9","218"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2020","Age","13-17 Years","78.4","68.6 to 85.8","169"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2021","Age","13-17 Years","82.6","73.1 to 89.3","144"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018","Age","13-15 Years","87.4","80.2 to 92.3","224"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2017","Age","13-15 Years","84.5","77.3 to 89.7","222"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2022","Age","13-17 Years","75.3","65.9 to 82.7","186"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2008","Age","13-15 Years","36.0","28.7 to 44.0","204"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2010","Age","13-15 Years","57.0","49.5 to 64.1","235"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2009","Age","13-15 Years","42.9","34.9 to 51.3","200"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2017","Age","13-17 Years","66.8","60.4 to 72.6","336"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2016","Age","13-17 Years","57.5","51.0 to 63.8","366"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2011","Age","13-15 Years","69.4","61.4 to 76.4","215"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2013","Age","13-17 Years","91.7","87.3 to 94.6","306"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2009","Age","13-17 Years","73.8","67.7 to 79.1","323"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2010","Age","13-17 Years","77.8","72.3 to 82.4","366"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2008","Age","13-17 Years","63.6","56.9 to 69.8","326"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2017","Age","13-17 Years","93.7","90.1 to 96.0","336"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2016","Age","13-17 Years","90.0","85.4 to 93.3","366"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2019","Age","13-15 Years","93.9","87.2 to 97.2","185"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2008","Age","13-17 Years","28.1","20.8 to 36.7","157"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2020","Age","13-15 Years","96.3","92.8 to 98.2","206"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2012","Age","13-17 Years","46.5","37.0 to 56.3","163"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2011","Age","13-17 Years","40.2","30.8 to 50.3","161"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2009","Age","13-17 Years","39.1","30.5 to 48.4","157"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2010","Age","13-17 Years","45.0","36.2 to 54.2","156"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018","Age","13-17 Years","52.1","45.4 to 58.7","341"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2011","Age","13-17 Years","77.8","71.7 to 82.8","347"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2019","Age","13-17 Years","49.5","42.6 to 56.5","305"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2020","Age","13-17 Years","60.7","53.4 to 67.5","327"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2021","Age","13-17 Years","67.8","59.6 to 75.0","266"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2022","Age","13-17 Years","54.8","47.9 to 61.5","361"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2012","Age","13-17 Years","87.9","82.6 to 91.8","347"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2015","Age","13-17 Years","93.4","89.7 to 95.8","358"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2014","Age","13-17 Years","92.3","87.6 to 95.3","372"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2013","Age","13-17 Years","89.4","84.7 to 92.8","306"
