"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2016","Age","13-17 Years","41.2","35.0 to 47.7","366"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2015","Age","13-15 Years","37.1","26.9 to 48.8","107"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2014","Age","13-15 Years","49.8","38.1 to 61.6","110"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2008","Age","13-17 Years","17.8","12.2 to 25.3","157"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2009","Age","13-17 Years","30.5","22.7 to 39.6","157"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2010","Age","13-17 Years","39.3","30.6 to 48.6","156"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2012","Age","13-17 Years","35.5","26.7 to 45.6","163"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2011","Age","13-17 Years","32.3","23.6 to 42.5","161"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2014","Age","13-17 Years","54.0","44.8 to 63.0","173"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2013","Age","13-17 Years","32.8","24.3 to 42.5","149"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2015","Age","13-17 Years","37.8","29.6 to 46.7","172"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2020","Age","13-15 Years","95.4","90.6 to 97.8","206"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2021","Age","13-15 Years","96.2","92.2 to 98.1","167"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2019","Age","13-15 Years","92.2","84.6 to 96.2","185"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018","Age","13-15 Years","88.9","82.3 to 93.3","224"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2009","Age","13-17 Years","54.7","48.3 to 61.1","323"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2010","Age","13-17 Years","67.7","61.7 to 73.1","366"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2022","Age","13-15 Years","93.2","87.6 to 96.4","229"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2008","Age","13-17 Years","28.0","22.8 to 33.8","326"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2017","Age","13-17 Years","51.9","45.3 to 58.4","336"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2009","Age","13-17 Years","84.1","77.7 to 88.9","323"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2008","Age","13-17 Years","82.2","76.4 to 86.8","326"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2011","Age","13-17 Years","89.4","84.6 to 92.8","347"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2010","Age","13-17 Years","85.7","80.8 to 89.5","366"
"HPV","≥2 Doses, Males","States/Local Areas","North Carolina","2015","Age","13-17 Years","40.3","32.2 to 49.0","186"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2024","Age","13-15 Years","59.4","49.5 to 68.6","125"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2024","Age","13-15 Years","68.0","56.0 to 77.9","88"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2024","Age","13-15 Years","63.5","55.9 to 70.5","213"
"Varicella","History of disease","States/Local Areas","North Carolina","2024","Age","13-17 Years","6.1","3.9 to 9.5","331"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2024","Age","13-17 Years","92.6","88.4 to 95.4","331"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2024","Age","13-17 Years","79.2","71.5 to 85.2","193"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2024","Age","13-17 Years","93.8","89.6 to 96.4","331"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2024","Age","13-17 Years","93.6","89.2 to 96.2","331"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2024","Age","13-17 Years","94.7","90.1 to 97.2","310"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2024","Age","13-17 Years","93.7","89.2 to 96.4","310"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2024","Age","13-15 Years","94.1","89.1 to 96.9","213"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2024","Age","13-17 Years","80.9","72.5 to 87.2","138"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2024","Age","13-15 Years","94.7","91.1 to 96.9","213"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2024","Age","13-17 Years","94.1","89.8 to 96.6","331"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2024","Age","13-15 Years","95.5","91.6 to 97.7","201"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2024","Age","13-17 Years","90.6","85.6 to 93.9","331"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2024","Age","13-17 Years","92.8","88.5 to 95.6","331"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2024","Age","13-17 Years","80.0","74.5 to 84.6","331"
"≥2 Doses Hep A","","States/Local Areas","North Carolina","2024","Age","13-17 Years","88.5","83.7 to 92.0","331"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2024","Age","13-17 Years","66.8","60.8 to 72.3","331"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2024","Age","13-17 Years","65.0","56.8 to 72.3","193"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2024","Age","13-17 Years","68.7","59.6 to 76.6","138"
"HPV","≥1 Dose, Males","States/Local Areas","North Carolina","2023","Age","13-17 Years","77.6","67.8 to 85.0","193"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2023","Age","13-17 Years","64.4","52.7 to 74.6","140"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2023","Age","13-15 Years","95.7","88.5 to 98.4","193"
"HPV","Up-to-Date, Females","States/Local Areas","North Carolina","2023","Age","13-15 Years","64.3","49.9 to 76.5","97"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2023","Age","13-15 Years","61.2","51.3 to 70.2","215"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2023","Age","13-15 Years","91.9","84.6 to 95.9","215"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2023","Age","13-15 Years","92.6","85.6 to 96.4","215"
"≥2 Doses Hep A","","States/Local Areas","North Carolina","2023","Age","13-17 Years","89.9","84.4 to 93.6","333"
"Varicella","≥2 Doses or history of disease","States/Local Areas","North Carolina","2023","Age","13-17 Years","93.8","88.5 to 96.7","333"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2023","Age","13-15 Years","58.0","44.4 to 70.5","118"
"≥3 Doses HepB","","States/Local Areas","North Carolina","2023","Age","13-17 Years","92.8","87.3 to 96.1","333"
"Varicella","History of disease","States/Local Areas","North Carolina","2023","Age","13-17 Years","9.0","5.3 to 15.0","333"
"Varicella","≥1 Dose with no disease history","States/Local Areas","North Carolina","2023","Age","13-17 Years","97.9","95.6 to 99.0","306"
"Varicella","≥2 Doses with no disease history","States/Local Areas","North Carolina","2023","Age","13-17 Years","93.2","87.5 to 96.4","306"
"HPV","Up-to-Date, Males","States/Local Areas","North Carolina","2023","Age","13-17 Years","62.7","52.3 to 72.0","193"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2023","Age","13-17 Years","96.1","92.1 to 98.1","333"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2023","Age","13-17 Years","63.5","55.8 to 70.6","333"
"HPV","≥1 Dose, Females","States/Local Areas","North Carolina","2023","Age","13-17 Years","70.7","58.9 to 80.3","140"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2023","Age","13-17 Years","74.2","66.7 to 80.5","333"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2023","Age","13-17 Years","91.7","86.3 to 95.1","333"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2023","Age","13-17 Years","90.3","84.1 to 94.2","333"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2023","Age","13-17 Years","89.7","83.6 to 93.7","333"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Overall","Overall","92.0","90.0 to 93.6","1600"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Overall","Overall","91.9","89.9 to 93.5","1600"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2011","Age","13-17 Years","65.9","59.4 to 71.9","347"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2010","Age","13-17 Years","52.4","46.3 to 58.3","366"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2012","Age","13-17 Years","68.2","61.6 to 74.2","347"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2022","Age","13-15 Years","90.9","83.6 to 95.2","229"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2017","Age","13-17 Years","91.9","87.8 to 94.7","336"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2009","Age","13-17 Years","46.8","40.4 to 53.3","323"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2008","Age","13-17 Years","30.7","25.2 to 36.9","326"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018","Age","13-17 Years","89.1","84.3 to 92.6","341"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2016","Age","13-17 Years","89.1","84.5 to 92.5","366"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Carolina","2012","Age","13-17 Years","21.7","16.6 to 27.9","347"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Carolina","2011","Age","13-17 Years","16.2","11.6 to 22.2","347"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2012","Age","13-17 Years","93.2","89.2 to 95.8","347"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2013","Age","13-17 Years","87.1","81.6 to 91.1","306"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2014","Age","13-17 Years","88.3","83.3 to 92.0","372"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2015","Age","13-17 Years","91.5","87.0 to 94.5","358"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2016","Age","13-17 Years","87.5","82.2 to 91.4","366"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2014","Age","13-17 Years","74.1","68.2 to 79.3","372"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2013","Age","13-17 Years","72.4","66.4 to 77.7","306"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2009","Age","13-15 Years","26.9","17.4 to 39.1","91"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2019","Age","13-17 Years","92.0","86.7 to 95.3","305"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2017","Age","13-17 Years","84.8","79.4 to 89.0","336"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2016","Age","13-17 Years","75.7","69.7 to 80.9","366"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2015","Age","13-17 Years","78.5","72.9 to 83.2","358"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2008","Age","13-15 Years","19.8","12.4 to 30.0","102"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2010","Age","13-15 Years","30.8","21.2 to 42.4","101"
"HPV","≥3 Doses, Females","States/Local Areas","North Carolina","2011","Age","13-15 Years","34.0","24.0 to 45.7","107"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2018","Age","13-17 Years","92.5","88.2 to 95.3","341"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2020","Age","13-17 Years","92.5","87.3 to 95.7","327"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2021","Age","13-17 Years","94.5","88.9 to 97.4","266"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2022","Age","13-17 Years","91.2","86.3 to 94.5","361"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2013","Age","13-17 Years","47.4","37.8 to 57.1","149"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2019","Age","13-17 Years","71.3","64.4 to 77.3","305"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018","Age","13-17 Years","68.6","62.2 to 74.5","341"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2022","Age","13-17 Years","93.8","89.5 to 96.4","361"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2020","Age","13-17 Years","80.3","74.1 to 85.3","327"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2021","Age","13-17 Years","85.0","78.2 to 90.0","266"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2022","Age","13-17 Years","73.1","66.4 to 78.9","361"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2018","Age","13-17 Years","90.4","85.6 to 93.7","341"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2019","Age","13-17 Years","92.0","86.8 to 95.3","305"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2020","Age","13-17 Years","93.4","88.1 to 96.4","327"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","North Carolina","2021","Age","13-17 Years","95.5","89.9 to 98.1","266"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2021","Age","13-15 Years","95.6","91.7 to 97.7","167"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2017","Age","13-15 Years","93.9","89.4 to 96.5","222"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2016","Age","13-15 Years","87.0","80.2 to 91.7","218"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2015","Age","13-15 Years","94.1","89.3 to 96.8","231"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2014","Age","13-15 Years","90.7","83.4 to 95.0","241"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2013","Age","13-15 Years","93.2","88.0 to 96.2","202"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2015","Age","13-17 Years","53.5","44.5 to 62.2","172"
"HPV","≥2 Doses, Females","States/Local Areas","North Carolina","2014","Age","13-17 Years","60.0","50.7 to 68.6","173"
"HPV","≥2 Doses, Males","States/Local Areas","North Carolina","2013","Age","13-17 Years","24.4","17.3 to 33.3","157"
"HPV","≥2 Doses, Males","States/Local Areas","North Carolina","2014","Age","13-17 Years","31.9","24.2 to 40.8","199"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2012","Age","13-15 Years","93.9","88.8 to 96.8","226"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2011","Age","13-15 Years","87.1","80.9 to 91.5","215"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2010","Age","13-15 Years","78.5","71.6 to 84.0","235"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2009","Age","13-15 Years","58.6","50.3 to 66.5","200"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2022","Age","13-17 Years","92.8","87.9 to 95.8","361"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2019","Age","13-17 Years","94.3","90.6 to 96.6","305"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2020","Age","13-17 Years","95.5","90.6 to 97.9","327"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Carolina","2013","Age","13-17 Years","22.4","17.2 to 28.6","306"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2017","Age","13-17 Years","93.0","89.2 to 95.5","336"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Carolina","2015","Age","13-17 Years","33.7","28.1 to 39.8","358"
"HPV","≥3 Doses, Males and Females","States/Local Areas","North Carolina","2014","Age","13-17 Years","37.1","31.0 to 43.6","372"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2019","Age","13-17 Years","93.2","88.3 to 96.1","305"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018","Age","13-17 Years","86.1","80.8 to 90.1","341"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2020","Age","13-17 Years","94.4","90.1 to 96.8","327"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2021","Age","13-17 Years","93.3","87.6 to 96.5","266"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2021","Age","13-17 Years","95.3","88.8 to 98.1","266"
"≥2 Doses MMR","","States/Local Areas","North Carolina","2022","Age","13-17 Years","96.1","92.6 to 98.0","361"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2008","Age","13-15 Years","34.0","27.0 to 41.7","204"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Overall","Overall","75.7","72.9 to 78.3","1600"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a Non-MSA","92.0","86.2 to 95.5","238"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Overall","Overall","57.0","53.8 to 60.2","1600"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a Non-MSA","75.6","68.0 to 81.8","238"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a MSA Non-Principal City","74.5","70.0 to 78.5","672"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a MSA Principal City","76.7","72.3 to 80.7","690"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a MSA Non-Principal City","55.7","50.7 to 60.5","672"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a Non-MSA","61.8","53.5 to 69.5","238"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a MSA Principal City","56.7","51.7 to 61.5","690"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a Non-MSA","91.2","85.7 to 94.7","238"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a MSA Non-Principal City","92.9","90.0 to 95.0","672"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a MSA Principal City","91.4","88.1 to 93.9","690"
"HPV","≥2 Doses, Males","States/Local Areas","North Carolina","2012","Age","13-17 Years","11.8","7.2 to 18.7","184"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a MSA Non-Principal City","92.2","89.0 to 94.5","672"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Urbanicity","Living In a MSA Principal City","91.6","88.3 to 94.0","690"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","White, Non-Hispanic","57.5","53.5 to 61.4","994"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","92.7","86.6 to 96.1","187"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Hispanic","81.3","73.7 to 87.1","223"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","82.0","74.3 to 87.7","187"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Black, Non-Hispanic","52.4","44.1 to 60.6","196"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","64.4","55.1 to 72.6","187"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Hispanic","56.9","48.6 to 64.9","223"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Black, Non-Hispanic","92.6","87.5 to 95.8","196"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","White, Non-Hispanic","92.7","90.2 to 94.6","994"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","White, Non-Hispanic","93.5","91.2 to 95.2","994"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Hispanic","88.3","80.9 to 93.0","223"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Black, Non-Hispanic","91.1","85.3 to 94.7","196"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","90.5","82.8 to 94.9","187"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Hispanic","88.9","82.1 to 93.4","223"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","White, Non-Hispanic","73.1","69.4 to 76.5","994"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Poverty","Below Poverty Level","80.9","73.7 to 86.5","223"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Race and Ethnicity","Black, Non-Hispanic","74.6","66.7 to 81.1","196"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Poverty","Living At or Above Poverty Level","74.2","71.0 to 77.2","1329"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Poverty","Below Poverty Level","91.7","85.9 to 95.3","223"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Poverty","Living At or Above Poverty Level","91.9","89.7 to 93.7","1329"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Poverty","Below Poverty Level","55.5","47.2 to 63.6","223"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Poverty","Living At or Above Poverty Level","57.3","53.7 to 60.8","1329"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Poverty","Living At or Above Poverty Level","92.6","90.4 to 94.3","1329"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Poverty","Below Poverty Level","88.5","81.9 to 92.9","223"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Any Medicaid","92.2","88.7 to 94.7","471"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Private Insurance Only","92.3","89.4 to 94.5","906"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Private Insurance Only","75.5","71.5 to 79.1","906"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Any Medicaid","77.6","72.6 to 81.8","471"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Other","89.5","81.8 to 94.2","153"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Other","68.6","57.8 to 77.7","153"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Private Insurance Only","57.5","53.2 to 61.7","906"
"≥1 Dose MenACWY","","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Uninsured","90.5","77.7 to 96.4","70"
"HPV","≥1 Dose, Males and Females","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Uninsured","76.4","62.7 to 86.2","70"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Any Medicaid","59.9","54.2 to 65.3","471"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Other","53.8","42.8 to 64.5","153"
"HPV","Up-to-Date, Males and Females","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Uninsured","35.5","21.4 to 52.6","70"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Private Insurance Only","92.3","89.4 to 94.4","906"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Any Medicaid","91.3","87.5 to 94.1","471"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Other","93.2","87.6 to 96.4","153"
"Tetanus","≥1 Dose Tdap","States/Local Areas","North Carolina","2018-2022","Insurance Coverage","Uninsured","89.6","77.0 to 95.7","70"
